,lin,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
1674,https://www.zomato.com/pune/royalbaingcoalyaninagar,"Royal Baing Co
                                    ",Baery,alyani Nagar,4.2,675,4.1,7627,"Desserts,Baery,",350,"Death By Chocolate, Club Sandwich, Pin Pasta, Burgers, Rocher Shae, Plain Rice, Pesto Pasta"
1675,https://www.zomato.com/pune/hotelrealtasteondhwa,"Hotel Real Taste
                                    ",Quic Bites,ondhwa,3.9,142,3.7,4627,"Biryani,Mughlai,Chinese,North Indian,",400,
1676,https://www.zomato.com/pune/hotelshreyasdeccangymhana,"Hotel Shreyas
                                    ",Casual Dining,Deccan Gymhana,4.3,957,4.4,660,"Beverages,Fast Food,Maharashtrian,",500,"Puran Poli, Moda, Maharastrian Thali, Misal, Gulab Jamun, Aamras, Sev Bhaji"
1677,https://www.zomato.com/pune/houseofmomos1nigdi,"House Of Momos
                                    ",Quic Bites,Nigdi,3.7,119,4,1828,"Fast Food,Momos,",350,"Veg Momos, Sandwich, Paneer Momos, Manchurian Momo"
1678,https://www.zomato.com/pune/ricebowlarvenagar,"Rice Bowl
                                    ",,arve Nagar,3.2,441,,,"Fast Food,Rolls,North Indian,",400,
1679,https://www.zomato.com/pune/sarjaaaundh,"Sarjaa
                                    ","Casual Dining,Bar",Aundh,4,309,4.2,292,"Beverages,Mughlai,North Indian,",1600,"Butter Chicen, Chicen Tia Biryani, Spring Roll, Masala Tia, Masala Papad, Dal Mahani, Cheese Tia"
1680,https://www.zomato.com/pune/durvanursadashivpeth,"Durvanur
                                    ",Casual Dining,Sadashiv Peth,4.3,1483,,,"Maharashtrian,",600,"Thali, Aamras, Dahi Vada, Shrihand, hichda, Masala Bhaat, adhi"
1681,https://www.zomato.com/pune/cafemomosothrud,"Cafe Momos
                                    ",Quic Bites,othrud,3.6,241,4,4333,"Beverages,Momos,",250,"Veg Steam Momos, Iced Lemon Tea, Fried Momo, Veg Tandoori Momos, Crispy Momos, Sandwich, Crispy Noodle"
1682,https://www.zomato.com/pune/supremecornerjmroad,"Supreme Corner
                                    ",Quic Bites,JM Road,4.2,1240,,,"Fast Food,Street Food,",300,"Tawa Pulav, Masala Pav, Jeera Soda, Veggie Pizza, Mini Pizza, Cheese Pav Bhaji, Jaljeera"
1683,https://www.zomato.com/pune/naturalicecreambaner,"Natural Ice Cream
                                    ",Dessert Parlor,Baner,4.1,221,4.6,1001,"Desserts,Ice Cream,",150,"esar Pista, Chaat, Fruit Ice Cream, Mango Ice Cream, Waffles, Choco Almond, Gajar Halwa"
1684,https://www.zomato.com/pune/maharaja11hinjawadi,"Maharaja.11
                                    ",Quic Bites,Hinjawadi,,,,,"Chinese,Maharashtrian,South Indian,North Indian,",200,
1685,https://www.zomato.com/pune/tiffingeewaad,"TiffinGee
                                    ",,Waad,3.8,14,,,"Healthy Food,North Indian,",300,"Jumbo Thali, Gulab Jamun, Dal Mahani, Paneer Mahanwala, Salad, Aloo Paratha, Normal Thali"
1686,https://www.zomato.com/pune/desserttowanowrie,"Dessertto
                                    ",Dessert Parlor,Wanowrie,4,251,3.5,1988,"Beverages,Desserts,Baery,",500,"Waffles, Blueberry Cheesecae, Brownie, Ferrero Rocher Cae, Mango Cheesecae, Icecream Cae"
1687,https://www.zomato.com/pune/wadeshwaralyaninagar,"Wadeshwar
                                    ",Casual Dining,alyani Nagar,3.7,607,,,"Beverages,Fast Food,Sandwich,South Indian,",400,"Pav Bhaji, Filtered Coffee, Mulagapudi Idli, Mysore Masala Dosa, Set Dosa, Cold Coffee, Misal"
1688,https://www.zomato.com/pune/swarnaavegetarianwarje,"Swarnaa Vegetarian
                                    ",Casual Dining,Warje,4.1,980,4,7327,"Beverages,Mughlai,Thai,Chinese,South Indian,North Indian,",600,"Pav Bhaji, Brownie, Roti, Dahi Vada, Vegetable Biryani, Pizza, Tomato Soup"
1689,https://www.zomato.com/pune/bungalow424othrud,"Bungalow 424
                                    ","Casual Dining,Bar",othrud,4.1,172,3.6,32,"Continental,Fast Food,North Indian,",1200,
1690,https://www.zomato.com/pune/caecartothrud,"Cae Cart
                                    ",Dessert Parlor,othrud,4,109,4.4,229,"Baery,",250,"Chips, Dutch Truffle"
1691,https://www.zomato.com/pune/mithasaundh,"Mithas
                                    ",Sweet Shop,Aundh,3.8,206,4.3,1071,"Street Food,Mithai,",400,"Rasmalai, Samosa, achori, Gulab Jamun, Sitaphal Rabri, Bengali Sweet"
1692,https://www.zomato.com/pune/alleppeeseralarestauranthinjawadi,"ALLEPPEES® erala Restaurant
                                    ",Quic Bites,Hinjawadi,4,128,4.4,424,"Seafood,erala,",500,"Fish Fry, Appam"
1693,https://www.zomato.com/pune/satejmisalsnacsbaner,"Satej Misal & Snacs
                                    ",Quic Bites,Baner,3,28,3.6,253,"Street Food,North Indian,South Indian,",250,
1694,https://www.zomato.com/pune/ruchibiryanidangechow,"Ruchi Biryani
                                    ",,Dange Chow,3.9,99,,,"Biryani,",150,
